created_at,date,hours,project,description,rate,consultant
2016-06-22 21:10:25,2019-01-01,8,_Public Holiday,,,John Lasseter
2016-06-22 21:10:25,2019-01-01,8,_Public Holiday,,,Stanislav Valasek
2016-06-22 21:10:25,2019-01-02,8,_Training,Knowledge base study,,Stanislav Valasek
2016-06-22 21:10:25,2019-01-03,2,_Sick,Teeth doctor,,John Lasseter
2016-06-22 21:10:25,2019-02-01,8,_Training,Knowledge base study,,Stanislav Valasek
2016-06-22 21:10:25,2019-02-01,2,_Sick,Teeth doctor,,John Lasseter
2016-06-22 21:10:25,2019-02-04,8,_Training,Knowledge base study,,Stanislav Valasek
2016-06-22 21:10:25,2019-02-04,2,_Sick,Teeth doctor,,John Lasseter
2019-01-10 13:10:02,2018-12-31,8,,,,John Lasseter
2016-06-22 21:10:25,2019-01-24,8,Apple,Knowledge base study,,John Lasseter
2016-06-22 21:10:25,2019-01-20,8,_Vacation,,,John Lasseter
2019-01-10 13:44:02,2019-01-14,2,_Sick,Teeth doctor,,John Lasseter
2019-01-10 13:01:41,2019-01-15,2,_Sick,Teeth doctor,,John Lasseter
2019-01-10 13:44:34,2019-01-14,8,,,,John Lasseter
2019-01-10 13:44:57,2019-01-07,8,,,,John Lasseter
2019-01-10 13:45:20,2019-01-07,8,,,,John Lasseter
2019-01-10 13:46:41,2018-12-31,8,,,,John Lasseter
2019-01-10 23:13:01,2019-01-07,8,,,,Stanislav Valasek
2019-01-10 23:32:12,2018-12-31,8,,,,Stanislav Valasek
2016-06-22 21:10:25,2019-01-07,4,_Training,Knowledge base study,,Stanislav Valasek
